Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Strand	Chromosome/scaffold name
ENSMUSG00000093037	17355392	17355474	Mir3066	1	12
ENSMUSG00000065613	52741838	52741928	Mir92-2	-1	X
ENSMUSG00000088169	98710986	98711089	Gm22059	-1	11
ENSMUSG00000094038	59366366	59366444	Gm24657	-1	7
ENSMUSG00000088761	56416766	56416868	Gm24392	1	14
ENSMUSG00000098355	100421968	100422041	Gm27553	1	5
ENSMUSG00000065818	45126346	45126435	Snord35a	-1	7
ENSMUSG00000064851	7177706	7177856	Gm24525	-1	5
ENSMUSG00000065239	96469435	96469531	Gm22971	-1	6
ENSMUSG00000084625	22902388	22902507	Gm25544	1	2
ENSMUSG00000099070	129557683	129557811	Mir8119	-1	4
ENSMUSG00000098967	61629093	61629206	Gm27845	1	14
ENSMUSG00000065018	48954722	48954885	Gm23511	1	3
ENSMUSG00000099118	40894703	40894789	Mir8092	1	19
ENSMUSG00000065484	84741115	84741178	Mir130a	-1	2
ENSMUSG00000076370	9855319	9855422	Gm22369	1	19
ENSMUSG00000077784	58005205	58005338	Gm23911	1	7
ENSMUSG00000084564	134240505	134240583	Mir1895	-1	3
ENSMUSG00000105972	80391613	80391677	Mir1843a	-1	12
ENSMUSG00000098445	34857569	34857632	Mir6972	-1	17
ENSMUSG00000076958	87456778	87456887	Gm24935	1	13
ENSMUSG00000093157	125195792	125195878	Mir3098	1	6
ENSMUSG00000077430	21500366	21500496	Gm22592	-1	X
ENSMUSG00000089105	71506436	71506543	Gm23115	-1	17
ENSMUSG00000080645	7807101	7807221	Mir1198	1	X
ENSMUSG00000089504	58143208	58143269	Gm23475	-1	15
ENSMUSG00000080673	108498118	108498240	Gm23336	1	3
ENSMUSG00000094738	54311225	54311331	Gm26177	-1	10
ENSMUSG00000106264	135746716	135746769	Mir7646	1	X
ENSMUSG00000077734	80078498	80078591	Snord83b	-1	15
ENSMUSG00000076006	109722718	109722803	Mir376c	1	12
ENSMUSG00000096303	86916216	86916322	Gm25211	-1	5
ENSMUSG00000065570	109743289	109743368	Mir412	1	12
ENSMUSG00000064609	9852019	9852149	Gm25635	-1	10
ENSMUSG00000089044	18355616	18355763	Gm26170	1	16
ENSMUSG00000092818	117546972	117547026	Gm27361	-1	8
ENSMUSG00000077655	75963657	75963787	Gm23319	-1	13
ENSMUSG00000084590	21445160	21445240	Mir1896	1	13
ENSMUSG00000070263	61164365	61164481	Gm22365	-1	19
ENSMUSG00000105768	109326769	109326851	Gm44495	-1	10
ENSMUSG00000098980	108087357	108087449	Mir6397	1	4
ENSMUSG00000096841	29349585	29349691	Gm25596	1	10
ENSMUSG00000093122	147010601	147010686	Mir1264	1	X
ENSMUSG00000093331	105865724	105865793	Gm22120	-1	12
ENSMUSG00000088730	14984670	14984799	Gm23892	1	10
ENSMUSG00000065473	52741983	52742066	Mir19b-2	-1	X
ENSMUSG00000093684	79562167	79562292	Gm27857	-1	14
ENSMUSG00000088585	10921670	10921760	Gm22963	1	1
ENSMUSG00000098444	85962847	85962910	Gm27811	-1	3
ENSMUSG00000095357	59561472	59561550	Gm23286	-1	7
ENSMUSG00000094524	59520284	59520362	Gm22909	-1	7
ENSMUSG00000098349	60302707	60302824	Gm27711	-1	11
ENSMUSG00000095449	123559201	123559319	n-R5s112	-1	8
ENSMUSG00000098982	3004130	3004229	Gm28002	-1	3
ENSMUSG00000094210	3415066	3415156	Gm23450	1	7
ENSMUSG00000088547	25940365	25940470	Gm24965	1	4
ENSMUSG00000088177	127849221	127849519	Gm23098	1	6
ENSMUSG00000064543	36169796	36169954	Gm22979	1	15
ENSMUSG00000093041	118418727	118418818	Gm26455	-1	5
ENSMUSG00000088876	25539097	25539205	Gm25861	-1	9
ENSMUSG00000084663	21032251	21032328	Mir1900	-1	9
ENSMUSG00000105988	101645144	101645259	Gm44479	1	15
ENSMUSG00000077576	38179453	38179584	Gm24889	1	10
ENSMUSG00000065374	57831063	57831209	Gm22738	-1	14
ENSMUSG00000088406	32027938	32028208	Gm25883	1	17
ENSMUSG00000077962	58023125	58023200	Mir874	-1	13
ENSMUSG00000065232	59040335	59040525	Gm22973	1	12
ENSMUSG00000098539	29475215	29475294	Mir133c	-1	2
ENSMUSG00000084535	109544541	109544620	Mir1906-1	1	12
ENSMUSG00000098808	36475461	36475524	Mir7009	-1	3
ENSMUSG00000098436	162237099	162237226	Gm27490	1	X
ENSMUSG00000088689	74778391	74778469	Scarna17	-1	18
ENSMUSG00000094667	59421187	59421265	Gm24872	-1	7
ENSMUSG00000093277	32675109	32675245	Gm26236	1	2
ENSMUSG00000080368	26626185	26626311	Gm25773	-1	3
ENSMUSG00000093023	122305544	122305798	Gm27826	-1	6
ENSMUSG00000093351	109747878	109747960	Mir3072	1	12
ENSMUSG00000077552	43136499	43136628	Gm23709	-1	4
ENSMUSG00000099213	52103689	52103779	Gm27686	-1	9
ENSMUSG00000088151	128435914	128436044	Gm26347	1	10
ENSMUSG00000076271	124731694	124731802	Mir697	1	4
ENSMUSG00000077591	45268603	45268731	Gm26016	-1	10
ENSMUSG00000088255	6223819	6223962	Gm24288	-1	8
ENSMUSG00000092988	88215171	88215257	Mir3093	1	3
ENSMUSG00000089048	25281600	25281852	Gm26167	-1	10
ENSMUSG00000089029	103392933	103393034	Gm25009	1	3
ENSMUSG00000095116	15695213	15695317	Gm23714	1	7
ENSMUSG00000089477	12780165	12780285	Gm25365	1	9
ENSMUSG00000084447	78603710	78603831	Gm26251	1	14
ENSMUSG00000065223	33293676	33293775	Gm25792	1	1
ENSMUSG00000077503	15227405	15227537	Gm24231	-1	8
ENSMUSG00000096384	5881041	5881150	Gm25352	1	3
ENSMUSG00000065188	37980087	37980226	Gm25140	1	16
ENSMUSG00000087719	42820463	42820767	Gm26464	-1	10
ENSMUSG00000093256	90953795	90953868	Gm22933	1	16
ENSMUSG00000088579	145291354	145291480	Gm25460	-1	1
ENSMUSG00000077991	10513741	10513834	Mir466n	1	2
ENSMUSG00000087815	58975630	58975731	Gm22491	1	3
ENSMUSG00000088487	32023344	32023440	Gm26045	1	14
ENSMUSG00000065044	3561154	3561273	n-R5s169	1	5
ENSMUSG00000094923	59751489	59751582	Gm24760	-1	7
ENSMUSG00000088118	8439353	8439664	Gm24059	1	6
ENSMUSG00000076343	96357111	96357223	Gm25213	1	13
ENSMUSG00000089353	161552549	161552666	Gm25488	-1	1
ENSMUSG00000087774	70501192	70501503	Gm22320	-1	10
ENSMUSG00000064386	14878495	14878598	Gm26449	1	12
ENSMUSG00000096790	13888537	13888643	Gm22995	-1	10
ENSMUSG00000094720	123538786	123538904	n-R5s100	-1	8
ENSMUSG00000080625	29301480	29301579	Gm22679	1	1
ENSMUSG00000065482	127545363	127545430	Mir302c	1	3
ENSMUSG00000064634	15315189	15315321	Gm22620	1	9
ENSMUSG00000077502	69451015	69451146	Gm24232	-1	15
ENSMUSG00000093296	100882306	100882409	Mir3102	-1	7
ENSMUSG00000064938	87437682	87437817	Gm50450	-1	12
ENSMUSG00000093404	116531646	116531740	Gm25190	-1	10
ENSMUSG00000087893	17803621	17803747	Gm23441	-1	3
ENSMUSG00000089436	116675878	116675968	Gm23198	1	13
ENSMUSG00000093208	43477704	43477777	Gm27325	-1	18
ENSMUSG00000105902	99075911	99076057	Gm49348	-1	6
ENSMUSG00000077621	22846868	22846969	Gm23772	1	11
ENSMUSG00000076999	105574687	105574782	Gm22426	1	1
ENSMUSG00000092793	10466663	10466746	Mir466m	1	2
ENSMUSG00000065802	109368088	109368193	Gm23041	-1	10
ENSMUSG00000089117	36438644	36438746	Gm25903	1	16
ENSMUSG00000099238	93421929	93422007	Mir7001	-1	2
ENSMUSG00000064601	35761602	35761706	Gm25634	1	1
ENSMUSG00000065413	127545733	127545807	Mir367	1	3
ENSMUSG00000064940	77910140	77910320	Gm23239	-1	7
ENSMUSG00000096018	30291868	30291974	Gm26435	-1	9
ENSMUSG00000088990	132838383	132838547	Gm22767	-1	4
ENSMUSG00000093967	89821340	89821446	Gm26180	-1	10
ENSMUSG00000094527	53872017	53872148	Gm22910	-1	6
ENSMUSG00000095596	29150554	29150679	Gm24303	-1	6
ENSMUSG00000065017	97572076	97572238	Gm23510	-1	6
ENSMUSG00000088360	63770212	63770309	Gm23500	1	3
ENSMUSG00000077421	121830436	121830542	Gm24283	1	8
ENSMUSG00000088950	59813137	59813273	Gm24939	1	11
ENSMUSG00000095943	73924585	73924710	Gm25197	-1	13
ENSMUSG00000096595	59550238	59550316	Gm25742	-1	7
ENSMUSG00000065080	122520568	122520674	Gm26497	-1	8
ENSMUSG00000089366	50510902	50511177	Gm23824	-1	11
ENSMUSG00000095414	8955932	8956064	Gm23923	-1	13
ENSMUSG00000089169	97936400	97936711	Gm25413	1	1
ENSMUSG00000094513	59445503	59445581	Gm24566	-1	7
ENSMUSG00000077511	60084788	60084894	Gm25875	1	15
ENSMUSG00000064897	105642338	105642476	Gm22504	-1	7
ENSMUSG00000094099	59522156	59522233	Gm25823	-1	7
ENSMUSG00000092652	141992179	141992241	Mir3104	1	7
ENSMUSG00000105878	83929688	83929830	Gm44330	-1	8
ENSMUSG00000065193	106261123	106261253	Gm23459	-1	14
ENSMUSG00000096015	123596457	123596575	n-R5s134	-1	8
ENSMUSG00000088830	52496885	52496988	Gm23545	1	15
ENSMUSG00000064850	93545150	93545277	Gm23443	-1	4
ENSMUSG00000077700	39461530	39461656	Gm24069	1	12
ENSMUSG00000088980	10513434	10513531	Mir669m-2	1	2
ENSMUSG00000096692	87364040	87364146	Gm23191	-1	10
ENSMUSG00000092784	57798424	57798487	Mir3077	1	14
ENSMUSG00000093322	54666677	54666786	Gm24971	-1	12
ENSMUSG00000088323	143778928	143779062	Gm25663	1	1
ENSMUSG00000078061	28608195	28608286	Gm22824	1	2
ENSMUSG00000076144	84086099	84086186	Mir709	1	8
ENSMUSG00000104635	51223588	51223674	Gm44377	-1	5
ENSMUSG00000089000	111879304	111879407	Gm23853	1	8
ENSMUSG00000077563	70895759	70895889	Snora68	-1	8
ENSMUSG00000076068	76207326	76207409	Mir678	-1	10
ENSMUSG00000095587	59585806	59585884	Gm22629	-1	7
ENSMUSG00000077305	17034662	17034791	Gm22470	1	18
ENSMUSG00000088693	31352980	31353094	Gm22330	1	13
ENSMUSG00000088253	57174030	57174129	Gm24285	1	10
ENSMUSG00000077281	94792205	94792336	Gm26396	-1	2
ENSMUSG00000105164	76318482	76318595	Gm44337	1	2
ENSMUSG00000077768	42699777	42699902	Gm25216	-1	19
ENSMUSG00000096634	59897161	59897254	Snord116l9	-1	7
ENSMUSG00000065042	96444955	96445070	Gm24043	1	14
ENSMUSG00000084473	40879658	40879738	Gm25784	1	7
ENSMUSG00000094994	59748956	59749049	Gm22046	-1	7
ENSMUSG00000064823	86356261	86356330	Snord82	-1	1
ENSMUSG00000065262	99017031	99017152	Gm23451	-1	11
ENSMUSG00000064994	56035753	56035887	Gm22422	-1	16
ENSMUSG00000088685	144774425	144774553	Gm23995	1	5
ENSMUSG00000094440	86349586	86349692	Gm25453	1	18
ENSMUSG00000065313	18549085	18549191	Gm26062	1	7
ENSMUSG00000088449	123382669	123382771	Gm23559	-1	7
ENSMUSG00000096535	60369054	60369163	Gm24755	-1	16
ENSMUSG00000076364	27401852	27401951	Gm24049	1	2
ENSMUSG00000064455	103396202	103396306	n-R5s56	1	13
ENSMUSG00000065200	31258933	31259062	Gm24613	-1	12
ENSMUSG00000084500	89681916	89682239	Gm25320	1	5
ENSMUSG00000084733	102228669	102228952	Gm25808	1	13
ENSMUSG00000105497	108568319	108568392	Mir191	1	9
ENSMUSG00000076398	100381097	100381185	Mir676	1	X
ENSMUSG00000064791	40804748	40804837	Snord14e	1	9
ENSMUSG00000088784	142153864	142153957	Gm25370	1	7
ENSMUSG00000088672	127138529	127138617	Gm23664	-1	10
ENSMUSG00000098299	67675457	67675516	Mir7224	1	2
ENSMUSG00000099244	17696894	17697149	Gm27542	1	6
ENSMUSG00000064441	81178950	81179013	Snord37	1	10
ENSMUSG00000095456	10948	16486	Il11ra2	1	JH584293.1
ENSMUSG00000099197	135735806	135735889	Mir7034	-1	5
ENSMUSG00000104747	3219198	3219259	Mir292b	-1	7
ENSMUSG00000093191	31836884	31837181	Gm22876	-1	14
ENSMUSG00000077474	83723462	83723589	Gm24792	-1	5
ENSMUSG00000092953	5127632	5127715	Gm26217	-1	7
ENSMUSG00000088491	151967529	151967617	Mir1953	-1	2
ENSMUSG00000070127	46342762	46342870	Mir146b	1	19
ENSMUSG00000065893	16471813	16471931	n-R5s151	1	7
ENSMUSG00000117083	19617521	19617710	Gm49800	1	14
ENSMUSG00000099168	41066426	41066576	Gm27717	-1	16
ENSMUSG00000078488	6740629	6761761	Gm10945	-1	10
ENSMUSG00000087756	48652499	48652602	Gm23469	1	14
ENSMUSG00000087802	11330489	11330626	Gm25979	-1	10
ENSMUSG00000084423	94517162	94517275	Gm25109	1	13
ENSMUSG00000064446	33644495	33644601	Gm26228	1	14
ENSMUSG00000093302	29336780	29336846	Gm23801	-1	5
ENSMUSG00000088453	80196158	80196404	Gm25706	-1	17
ENSMUSG00000098504	73855477	73855575	Mir6351	-1	1
ENSMUSG00000098451	76064828	76064888	Mir6952	-1	15
ENSMUSG00000092855	40186029	40186099	Gm25958	-1	15
ENSMUSG00000087767	121891571	121891684	Gm23983	-1	2
ENSMUSG00000070182	172843534	172843638	Gm24817	-1	1
ENSMUSG00000049202	21801159	21801658	4930515G13Rik	-1	17
ENSMUSG00000117327	21896506	21897116	Gm6467	1	16
ENSMUSG00000077413	94615636	94615704	Gm23389	-1	1
ENSMUSG00000077628	132553714	132553844	Gm23768	-1	X
ENSMUSG00000080364	18240717	18240842	Gm25777	-1	16
ENSMUSG00000088204	104994916	104995019	Gm23391	1	9
ENSMUSG00000077890	35660970	35661047	Mir875	-1	15
ENSMUSG00000080544	37149085	37149162	Gm22714	-1	19
ENSMUSG00000095121	45685456	45685562	Gm23216	-1	1
ENSMUSG00000093085	48420769	48420842	Gm24325	1	6
ENSMUSG00000088095	118299990	118300117	Gm23669	1	14
ENSMUSG00000089597	29459194	29459328	Gm24976	1	2
ENSMUSG00000064551	116345732	116345895	Gm24624	1	X
ENSMUSG00000099010	112228608	112228742	Gm27357	-1	5
ENSMUSG00000088141	135566162	135566282	Mir1962	1	7
ENSMUSG00000096264	10484490	10484613	Gm23108	1	2
ENSMUSG00000064748	47848834	47848952	n-R5s28	1	17
ENSMUSG00000093063	166655027	166655142	Gm23152	-1	2
ENSMUSG00000079061	74315110	74316394	Gm11042	-1	12
ENSMUSG00000078032	3219482	3219560	Mir291b	1	7
ENSMUSG00000098279	78445095	78445157	Mir6908	-1	10
ENSMUSG00000089581	60735861	60735957	Gm23341	1	11
ENSMUSG00000065644	19934863	19934953	Gm25859	1	2
ENSMUSG00000091306	54640952	54648293	Gm17606	1	14
ENSMUSG00000105178	109723781	109723848	Mir376a	1	12
ENSMUSG00000095791	30814162	30814268	Gm26295	1	16
ENSMUSG00000065569	118433857	118433929	Mir137	1	3
ENSMUSG00000093074	86699043	86699156	Gm25949	-1	9
ENSMUSG00000077771	129113295	129113426	Gm22374	-1	8
ENSMUSG00000088904	49581696	49581849	Gm25440	-1	18
ENSMUSG00000089267	84323209	84323352	Gm22890	-1	15
ENSMUSG00000094301	50920542	50920648	Gm24925	-1	16
ENSMUSG00000088250	3656663	3656791	Gm26393	-1	11
ENSMUSG00000077257	118453355	118453485	Gm26080	-1	1
ENSMUSG00000077342	19691288	19691419	Gm24670	1	2
ENSMUSG00000065474	124717914	124717985	Mir141	-1	6
ENSMUSG00000065405	23272269	23272339	Mir30a	1	1
ENSMUSG00000098641	87462286	87462500	Rnu3b4	1	11
ENSMUSG00000064704	149281118	149281223	n-R5s180	-1	5
ENSMUSG00000065708	102951949	102952113	Gm22826	-1	3
ENSMUSG00000065507	22750605	22750672	Mir204	1	19
ENSMUSG00000065454	180894040	180894107	Mir124a-3	1	2
ENSMUSG00000096244	149261	150163	AC102264.1	-1	GL456219.1
ENSMUSG00000065187	135584192	135584306	Gm25136	1	6
ENSMUSG00000099011	137783535	137783615	Mir6380	-1	3
ENSMUSG00000054379	103198226	103198975	2410024N13Rik	-1	3
ENSMUSG00000092905	127191027	127191241	Gm25735	1	7
ENSMUSG00000077572	21794933	21795055	Gm24886	-1	2
ENSMUSG00000087958	51540747	51541015	Gm22563	1	4
ENSMUSG00000070240	15896663	15896769	Gm23516	-1	X
ENSMUSG00000077227	11933495	11933628	Gm22272	-1	19
ENSMUSG00000094470	135314316	135314429	Gm25936	-1	X
ENSMUSG00000065421	48538179	48538272	Mirlet7a-1	-1	13
ENSMUSG00000064764	85351063	85351254	Gm23517	-1	15
ENSMUSG00000070133	109594506	109594599	Mir434	1	12
ENSMUSG00000084478	99909797	99909878	Gm26425	1	4
ENSMUSG00000094609	59619017	59619095	Gm25870	-1	7
ENSMUSG00000098592	128584437	128584497	Mir6917	-1	10
ENSMUSG00000088943	15879530	15879832	Gm23259	1	1
ENSMUSG00000105060	63178686	63178720	Gm26457	1	1
ENSMUSG00000077674	82692239	82692370	Gm24470	-1	X
ENSMUSG00000094486	135837295	135837372	Gm23268	-1	5
ENSMUSG00000104558	107480406	107480534	Gm44403	1	10
ENSMUSG00000088509	12692813	12692942	Gm22789	1	11
ENSMUSG00000025218	45552275	45560531	Poll	-1	19
ENSMUSG00000079439	88110567	88111530	Gm11116	-1	5
ENSMUSG00000088005	73349799	73349921	Gm24787	1	15
ENSMUSG00000098308	62080245	62080443	Gm27782	1	15
ENSMUSG00000105537	30367676	30367771	Gm47292	1	2
ENSMUSG00000093964	74340950	74341081	Gm26179	1	6
ENSMUSG00000089589	44948104	44948246	Gm23343	1	15
ENSMUSG00000080626	23149431	23149551	Mir1192	1	19
ENSMUSG00000055872	75590142	75590653	Gm9985	-1	10
ENSMUSG00000095759	13223386	13223928	Gm21828	-1	Y
ENSMUSG00000089512	59704258	59704338	Gm26287	1	1
ENSMUSG00000099334	74635214	74635351	Gm26379	1	4
ENSMUSG00000093893	123579450	123579568	n-R5s124	-1	8
ENSMUSG00000093834	96374021	96374185	Rnu1b2	1	3
ENSMUSG00000077602	24884173	24884306	Gm22672	1	16
ENSMUSG00000064596	54100430	54100562	Gm22298	1	2
ENSMUSG00000095536	10491336	10491425	Gm25285	1	2
ENSMUSG00000091743	162628357	162629067	Gm5705	-1	1
ENSMUSG00000096728	158543	161339	AC140325.4	1	GL456354.1
ENSMUSG00000079353	58859434	58907618	Gm11099	1	2
ENSMUSG00000099203	57581061	57581162	Mir6389	1	7
ENSMUSG00000063897	15881	36183	CAAA01118383.1	1	GL456216.1
ENSMUSG00000065442	115044157	115044263	Mir20a	1	14
ENSMUSG00000088898	40801161	40801465	Gm22515	-1	18
ENSMUSG00000094452	30493942	30494048	Gm22623	1	10
ENSMUSG00000088549	20844447	20844592	Gm24959	-1	18
ENSMUSG00000065199	72611803	72611909	Gm23461	1	X
ENSMUSG00000096310	170751717	170751823	Gm23523	-1	1
ENSMUSG00000084582	88405977	88406301	Gm25178	1	6
ENSMUSG00000094883	59364496	59364574	Gm25121	-1	7
ENSMUSG00000092894	49771833	49771909	Gm23813	1	11
ENSMUSG00000089377	43160795	43160902	Gm22135	-1	19
ENSMUSG00000076060	47803576	47803652	Mir704	-1	6
ENSMUSG00000065579	108568777	108568861	Mir425	1	9
ENSMUSG00000096161	59443631	59443709	Gm24639	-1	7
ENSMUSG00000076255	89227116	89227198	Mir92b	-1	3
ENSMUSG00000106347	81104614	81104673	Mir5615-1	-1	10
ENSMUSG00000095076	179693	182203	AC125178.2	1	JH584298.1
ENSMUSG00000077767	146994381	146994508	Snora35	1	X
ENSMUSG00000084425	37267076	37267238	Gm25104	-1	17
ENSMUSG00000090353	126215100	126216212	Gm17555	1	2
ENSMUSG00000084456	90548619	90548724	Gm24593	1	3
ENSMUSG00000092908	65509368	65509492	Gm25731	1	17
ENSMUSG00000088222	58661178	58661309	Gm22599	1	11
ENSMUSG00000088908	80037429	80037714	Gm25433	1	9
ENSMUSG00000077357	50539904	50540034	Gm26289	-1	6
ENSMUSG00000088633	97237818	97237946	Gm22313	1	2
ENSMUSG00000084557	151854823	151854955	Gm25279	-1	1
ENSMUSG00000065439	107551244	107551313	Mir140	1	8
ENSMUSG00000064666	141448803	141448939	Snora52	1	7
ENSMUSG00000089227	46832559	46832807	Gm25051	-1	12
ENSMUSG00000099099	102945359	102945427	Gm27337	1	15
ENSMUSG00000087747	171308047	171308137	Gm25151	1	1
ENSMUSG00000074026	126476248	126476412	Gm6091	-1	8
ENSMUSG00000096112	31982109	31982234	Gm26269	1	16
ENSMUSG00000094431	32719	32818	CAAA01205117.1	1	GL456385.1
ENSMUSG00000098446	67729499	67729577	Mir7242	-1	9
ENSMUSG00000095570	146926	149659	AC140325.3	-1	GL456354.1
ENSMUSG00000099024	42574209	42574364	Gm27457	1	18
ENSMUSG00000087959	78533903	78534013	Gm22562	-1	17
ENSMUSG00000065476	68337415	68337510	Mir30b	-1	15
ENSMUSG00000075719	4101890	4102060	Gm23741	1	7
ENSMUSG00000092767	94823733	94823805	Gm23364	1	6
ENSMUSG00000095269	10476628	10476713	Mir466b-8	1	2
ENSMUSG00000099005	123616420	123616521	Mir6398	1	4
ENSMUSG00000094834	85763794	85763871	Gm25472	1	1
ENSMUSG00000105115	87471368	87471583	Rnu3b2	1	11
ENSMUSG00000089413	24486662	24486764	Gm22013	-1	13
ENSMUSG00000088071	86212554	86212657	Gm22818	-1	15
ENSMUSG00000084732	129172573	129172877	Gm25807	-1	10
ENSMUSG00000064776	102253473	102253687	Gm25203	-1	12
ENSMUSG00000098687	147283189	147283298	Mir7k	-1	5
ENSMUSG00000099232	130527251	130527326	Gm27884	-1	7
ENSMUSG00000105142	27317035	27317095	Mir7214	-1	17
ENSMUSG00000093342	8698253	8698356	Gm26119	-1	18
ENSMUSG00000065304	129789539	129789673	Gm23245	1	5
ENSMUSG00000087737	91559671	91559783	Gm24647	-1	15
ENSMUSG00000098629	139199196	139199296	Gm27975	-1	7
ENSMUSG00000070110	59097658	59097736	Mir504	-1	X
ENSMUSG00000096676	134280885	134280991	Gm24517	-1	1
ENSMUSG00000095734	59708469	59708562	Gm23767	-1	7
ENSMUSG00000064567	72616006	72616150	Gm24143	-1	11
ENSMUSG00000089280	57969342	57969612	Gm26025	1	11
ENSMUSG00000065649	35557032	35557227	Snora74a	1	18
ENSMUSG00000077393	101222952	101223078	Gm24338	1	9
ENSMUSG00000084628	127473017	127473308	Gm22613	-1	2
ENSMUSG00000094183	59705746	59705874	Gm22622	-1	6
ENSMUSG00000077403	55299655	55299845	Gm25419	-1	4
ENSMUSG00000089123	37802544	37802652	Gm26404	-1	3
ENSMUSG00000078034	116123900	116123987	Gm24683	1	X
ENSMUSG00000089128	132507131	132507254	Gm26406	1	X
ENSMUSG00000088640	55702154	55702215	Gm26482	1	7
ENSMUSG00000084419	53701179	53701488	Gm22275	1	11
ENSMUSG00000084665	33011958	33012114	Gm23214	1	3
ENSMUSG00000084747	8246786	8246881	Mir1899	1	9
ENSMUSG00000099273	80967444	80967539	Gm27452	1	4
ENSMUSG00000077194	62036631	62036737	Gm23431	-1	7
ENSMUSG00000089155	21249422	21249560	Gm23582	-1	11
ENSMUSG00000096353	112522529	112522660	Gm24957	1	9
ENSMUSG00000095590	54734555	54734718	Gm24305	-1	12
ENSMUSG00000065792	4104313	4104469	Gm25515	1	10
ENSMUSG00000093207	18017252	18017352	Gm22414	-1	7
ENSMUSG00000093168	21564561	21564649	Gm22990	-1	11
ENSMUSG00000065437	68341208	68341289	Mir30d	-1	15
ENSMUSG00000064620	16939994	16940115	Gm22303	1	12
ENSMUSG00000098797	82131916	82132019	Mir6344	1	1
ENSMUSG00000080374	121450670	121450770	Gm22953	-1	2
ENSMUSG00000089241	31536957	31537258	Gm24057	-1	14
ENSMUSG00000099173	52262592	52262969	Gm27985	1	6
ENSMUSG00000065869	22868901	22869004	Gm24917	1	11
ENSMUSG00000064416	151384494	151384643	Gm22248	1	X
ENSMUSG00000094753	59602647	59602725	Gm25017	-1	7
ENSMUSG00000077590	65405846	65405970	Gm26015	-1	12
ENSMUSG00000080500	10465287	10465407	Gm22072	1	2
ENSMUSG00000064871	75001058	75001123	Snord58b	1	18
ENSMUSG00000087949	53886828	53886941	Gm24251	-1	1
ENSMUSG00000098626	61648638	61648774	Gm27972	1	14
ENSMUSG00000077689	18814169	18814303	Gm22499	1	14
ENSMUSG00000099172	150547385	150547445	Mir3620	-1	X
ENSMUSG00000099174	68220892	68221011	Mir6406	1	11
ENSMUSG00000064485	72131088	72131221	Gm23735	1	14
ENSMUSG00000076251	7241243	7241351	Mir501	-1	X
ENSMUSG00000089488	99040398	99040650	Gm24733	-1	13
ENSMUSG00000065382	6706342	6706446	Gm23097	-1	9
ENSMUSG00000098759	141620701	141620791	Mir7063	1	7
ENSMUSG00000088090	60042069	60042179	Gm23668	-1	9
ENSMUSG00000087916	20199996	20200112	Gm24912	-1	14
ENSMUSG00000087765	113878331	113878454	Gm23985	-1	X
ENSMUSG00000084511	22595029	22595220	Gm22481	1	16
ENSMUSG00000089310	95039934	95040043	Gm23181	-1	1
ENSMUSG00000095892	65201726	65201841	Rnu5g	-1	9
ENSMUSG00000065647	87418909	87419044	Gm25896	-1	16
ENSMUSG00000096061	20937576	20937701	Gm23681	-1	11
ENSMUSG00000077561	22396570	22396702	Gm24607	1	4
ENSMUSG00000088210	75372041	75372145	Gm22084	-1	5
ENSMUSG00000077367	5060775	5060882	Gm23483	-1	16
ENSMUSG00000088574	8472094	8472384	Gm24534	-1	2
ENSMUSG00000095087	20701523	20701629	Gm25328	1	14
ENSMUSG00000077021	10507630	10507714	Mir467d	1	2
ENSMUSG00000096159	59683586	59683679	Gm24153	-1	7
ENSMUSG00000098589	73005201	73005322	Gm27353	1	9
ENSMUSG00000077648	160876202	160876322	Gm24988	-1	1
ENSMUSG00000087732	47506319	47506425	Gm24651	-1	16
ENSMUSG00000094184	66777256	66777332	Mir743b	-1	X
ENSMUSG00000077345	59691934	59692020	Snord70	1	1
ENSMUSG00000088444	151059955	151060083	Gm22187	1	2
ENSMUSG00000092674	149247952	149248244	Gm24105	-1	5
ENSMUSG00000084559	88759474	88759553	Mir1906-2	-1	X
ENSMUSG00000098608	37974503	37974617	Mir6981	-1	18
ENSMUSG00000105932	70705990	70706059	Mir6925	1	11
ENSMUSG00000093176	98262606	98262662	Mir5119	1	11
ENSMUSG00000065924	71663788	71663918	Gm22797	1	16
ENSMUSG00000088914	92866475	92866582	Gm22605	-1	4
ENSMUSG00000065694	66436082	66436232	Gm25411	1	1
ENSMUSG00000065463	153912125	153912204	Snord45c	-1	3
ENSMUSG00000070101	109611500	109611595	Mir341	1	12
ENSMUSG00000065852	38058285	38058420	Gm22353	1	15
ENSMUSG00000096821	59572707	59572785	Gm24570	-1	7
ENSMUSG00000098521	102304924	102304975	Mir7243	-1	9
ENSMUSG00000065718	46838346	46838507	Gm25650	-1	10
ENSMUSG00000098480	15800994	15801101	Mir6387	-1	12
ENSMUSG00000098527	100649163	100649229	Mir6961	-1	15
ENSMUSG00000094599	59892111	59892204	Snord116l3	-1	7
ENSMUSG00000094959	40850144	40850226	Gm24112	-1	4
ENSMUSG00000092659	19086828	19086892	Mir3100	1	7
ENSMUSG00000076212	129691535	129691643	Mir680-1	1	6
ENSMUSG00000077174	153831170	153831292	Gm25757	1	3
ENSMUSG00000087917	67804375	67804510	Gm24911	-1	6
ENSMUSG00000098264	41891342	41891423	Mir6414	1	5
ENSMUSG00000077745	67257224	67257352	Gm26342	1	1
ENSMUSG00000070071	66839052	66839125	Mir465	-1	X
